,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
21,5.7450930833816525,0.4439929188714745,0.08208389282226562,0.027243936429011118,0.01,0.02,"{'gamma': 0.01, 'learning_rate': 0.02}",0.7146806227853939,0.7334779102876129,0.7234432234432234,0.7222896745806544,0.7335392150224992,0.7456872380205848,0.7123811787139669,0.7805971493838278,0.7369924547176417,0.7342036469668823,0.7337292313922289,0.01845487167958887,36
22,5.883353662490845,0.6017238268458227,0.0840538501739502,0.01684161130138752,0.01,0.03,"{'gamma': 0.01, 'learning_rate': 0.03}",0.7163194192109286,0.7290111898405156,0.725158669713125,0.7319528677955643,0.7456659107966219,0.7389308980742043,0.7109423474449983,0.7763533534888617,0.7364450235800666,0.7343391858626368,0.7345118865807523,0.01705635678456522,32
23,5.9752931833267215,0.7816901206296655,0.07160289287567138,0.024008075741327534,0.01,0.04,"{'gamma': 0.01, 'learning_rate': 0.04}",0.7225340935544656,0.7370396949563993,0.725158669713125,0.7284247119281472,0.754648740230639,0.744971853158633,0.7118260939984095,0.780009015843696,0.7373320628884357,0.7343391858626368,0.7376284122134587,0.01812398227135929,21
24,5.212978315353394,0.5894611849482074,0.08050971031188965,0.023947082399224127,0.01,0.1,"{'gamma': 0.01, 'learning_rate': 0.1}",0.7408533275642375,0.7265487154115813,0.7356472678202675,0.7466595549269956,0.7509472846806714,0.7562133337214338,0.7147499887610972,0.7624359508258515,0.7403117520672039,0.7384753704644682,0.7412842546243809,0.013245904833952445,13
25,4.9119137048721315,0.2906384199136454,0.07786266803741455,0.014974673136019445,0.01,0.2,"{'gamma': 0.01, 'learning_rate': 0.2}",0.7320108046060859,0.7400764085591827,0.738436177189789,0.7411263692468858,0.7506053765869938,0.7433028711302755,0.7250453432536946,0.7708171124208967,0.7594426473815297,0.74132709308462,0.7442190203459954,0.012514163431279795,9
26,4.686523604393005,0.414843120579365,0.0793506383895874,0.016826435760661385,0.01,0.3,"{'gamma': 0.01, 'learning_rate': 0.3}",0.7377101972052755,0.7348835735209559,0.7500558623754205,0.7406326974101592,0.7595551850695877,0.7362692939091936,0.7150143566582828,0.7654943880274896,0.7586921526321334,0.7480713686033221,0.7446379075411821,0.014152572252301179,8
27,5.412393283843994,0.16405155422042622,0.07899250984191894,0.02248822705838837,0.001,0.0001,"{'gamma': 0.001, 'learning_rate': 0.0001}",0.7202708289085308,0.681793335189467,0.7247299531530551,0.732123818294767,0.7259973906272009,0.7430182973043943,0.7123894084452435,0.7418804116272678,0.7253719927646216,0.7396281941105721,0.724720363042512,0.017096702228242083,50
28,5.4224395751953125,0.2543560718421867,0.06905148029327393,0.013819220622710703,0.001,0.001,"{'gamma': 0.001, 'learning_rate': 0.001}",0.7202708289085308,0.7247572886454519,0.7289272415997282,0.732123818294767,0.73885293134146,0.7430182973043943,0.7153058842212968,0.7432031070560933,0.7288689548249048,0.7396281941105721,0.7314956546307199,0.009151531549301187,44
29,5.457370948791504,0.48772378416140866,0.07315411567687988,0.01905024879210769,0.001,0.01,"{'gamma': 0.001, 'learning_rate': 0.01}",0.7066752212989479,0.7218362801438136,0.7245777418191212,0.7230173300818127,0.7434728127006003,0.7520596619795382,0.7153058842212968,0.7738351604211967,0.7333308931236985,0.7353993690310826,0.7329510354821107,0.018567702640513394,40
30,5.8234574556350704,0.6685108810763482,0.08125619888305664,0.023562578015396428,0.001,0.02,"{'gamma': 0.001, 'learning_rate': 0.02}",0.7146806227853939,0.7334779102876129,0.7234432234432234,0.7222896745806544,0.735267990173588,0.7456872380205848,0.7123811787139669,0.7805971493838278,0.7369924547176417,0.7342036469668823,0.7339021089073376,0.01846037836317299,33
31,5.88842077255249,0.6362769903338835,0.0845682144165039,0.031230336796661182,0.001,0.03,"{'gamma': 0.001, 'learning_rate': 0.03}",0.7163194192109286,0.7290111898405156,0.725158669713125,0.7301798252978537,0.7456659107966219,0.7389308980742043,0.7109423474449983,0.7811646034106435,0.7375695583313971,0.7343391858626368,0.7349281607982924,0.018305896251377515,30
32,5.9259960651397705,0.4841420145833001,0.08327746391296387,0.02690194219871844,0.001,0.04,"{'gamma': 0.001, 'learning_rate': 0.04}",0.7225340935544656,0.7370396949563993,0.725158669713125,0.7284247119281472,0.754648740230639,0.744971853158633,0.7118260939984095,0.7820701817469814,0.7373320628884357,0.7343391858626368,0.7378345288037873,0.01860999142515879,18
33,5.37183895111084,0.6375633235665579,0.08461503982543946,0.02014176909397814,0.001,0.1,"{'gamma': 0.001, 'learning_rate': 0.1}",0.7235018380702397,0.7153141066908243,0.7297924297924298,0.7491918478796503,0.7524614717028131,0.752260767690402,0.7090013626807874,0.76438321357909,0.7407123350434096,0.7439956007371737,0.7380614973866819,0.01705940466902021,17
34,4.934708619117737,0.39029766316887204,0.0833284854888916,0.025015741998721707,0.001,0.2,"{'gamma': 0.001, 'learning_rate': 0.2}",0.7459163201892931,0.7361950095275742,0.7500423888871705,0.7576062794580185,0.7518440555618069,0.7487018929791612,0.7208041265887424,0.7918897159894964,0.7421124102661215,0.7491286220554514,0.7494240821502836,0.017137680698002332,2
35,4.665671420097351,0.4156785671577573,0.06813218593597412,0.023055022422429527,0.001,0.3,"{'gamma': 0.001, 'learning_rate': 0.3}",0.7611034959611843,0.7295062150055899,0.7438098865617332,0.7562486027274761,0.7575911819985884,0.7500404561265873,0.7171321172699848,0.770517124974451,0.7417475402796417,0.7512680864713767,0.7478964707376613,0.014849195199560803,6
36,5.267041516304016,0.5380252886429565,0.07287044525146484,0.02181402205304357,0.0001,0.0001,"{'gamma': 0.0001, 'learning_rate': 0.0001}",0.7202708289085308,0.681793335189467,0.7247299531530551,0.732123818294767,0.7259973906272009,0.7430182973043943,0.7123894084452435,0.7418804116272678,0.7253719927646216,0.7396281941105721,0.724720363042512,0.017096702228242083,50
37,5.463828372955322,0.3939182831816486,0.07883989810943604,0.015919822189726644,0.0001,0.001,"{'gamma': 0.0001, 'learning_rate': 0.001}",0.7202708289085308,0.7247572886454519,0.7289272415997282,0.732123818294767,0.73885293134146,0.7430182973043943,0.7153058842212968,0.7432031070560933,0.7288689548249048,0.7396281941105721,0.7314956546307199,0.009151531549301187,44
