,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.06945240497589111,0.01394481149113189,0.006183648109436035,0.000869485776829803,gini,2,3,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 3, 'random_state': 10}",0.7456795623264266,0.7576985354424242,0.7483315056443957,0.7582491200443483,0.7455694527783835,0.752040752235839,0.7520313027760738,0.7539692938093857,0.7521586532519154,0.7406846240179573,0.7506412802327149,0.005289281590487761,281
1,0.05304412841796875,0.005427471122937196,0.006563258171081543,0.0008688204963871979,gini,2,3,20,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 3, 'random_state': 20}",0.7456795623264266,0.7576985354424242,0.7483315056443957,0.7582491200443483,0.7455694527783835,0.752040752235839,0.7520313027760738,0.7539692938093857,0.7521586532519154,0.7406846240179573,0.7506412802327149,0.005289281590487761,281
2,0.044017243385314944,0.0037427438929613995,0.005139708518981934,0.0007090657868717324,gini,2,3,30,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 3, 'random_state': 30}",0.7456795623264266,0.7576985354424242,0.7483315056443957,0.7582491200443483,0.7455694527783835,0.752040752235839,0.7520313027760738,0.7539692938093857,0.7521586532519154,0.7406846240179573,0.7506412802327149,0.005289281590487761,281
3,0.055917906761169436,0.009533949838709947,0.007518839836120605,0.004185272990180901,gini,2,3,40,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 3, 'random_state': 40}",0.7456795623264266,0.7576985354424242,0.7483315056443957,0.7582491200443483,0.7455694527783835,0.752040752235839,0.7520313027760738,0.7539692938093857,0.7521586532519154,0.7406846240179573,0.7506412802327149,0.005289281590487761,281
4,0.054883384704589845,0.00905433933011943,0.0063384056091308595,0.0013386898037293,gini,2,4,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 4, 'random_state': 10}",0.7456795623264266,0.7576985354424242,0.7483315056443957,0.7582491200443483,0.7455694527783835,0.752040752235839,0.7520313027760738,0.7539692938093857,0.7521586532519154,0.7406846240179573,0.7506412802327149,0.005289281590487761,281
5,0.048772025108337405,0.00437535957996241,0.006206154823303223,0.0042925744813030854,gini,2,4,20,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 4, 'random_state': 20}",0.7456795623264266,0.7576985354424242,0.7483315056443957,0.7582491200443483,0.7455694527783835,0.752040752235839,0.7520313027760738,0.7539692938093857,0.7521586532519154,0.7406846240179573,0.7506412802327149,0.005289281590487761,281
6,0.051633906364440915,0.0025853352842731404,0.005859661102294922,0.0009432551252935786,gini,2,4,30,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 4, 'random_state': 30}",0.7456795623264266,0.7576985354424242,0.7483315056443957,0.7582491200443483,0.7455694527783835,0.752040752235839,0.7520313027760738,0.7539692938093857,0.7521586532519154,0.7406846240179573,0.7506412802327149,0.005289281590487761,281
7,0.05885405540466308,0.011792663678277382,0.011938118934631347,0.0108040003159958,gini,2,4,40,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 4, 'random_state': 40}",0.7456795623264266,0.7576985354424242,0.7483315056443957,0.7582491200443483,0.7455694527783835,0.752040752235839,0.7520313027760738,0.7539692938093857,0.7521586532519154,0.7406846240179573,0.7506412802327149,0.005289281590487761,281
8,0.058381390571594236,0.011709006948114012,0.005601406097412109,0.0008079427693943712,gini,2,5,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'random_state': 10}",0.7456795623264266,0.7576985354424242,0.7483315056443957,0.7582491200443483,0.7455694527783835,0.752040752235839,0.7520313027760738,0.7539692938093857,0.7521586532519154,0.7406846240179573,0.7506412802327149,0.005289281590487761,281
9,0.07412302494049072,0.03549106151683125,0.011996746063232422,0.016668218289710223,gini,2,5,20,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'random_state': 20}",0.7456795623264266,0.7576985354424242,0.7483315056443957,0.7582491200443483,0.7455694527783835,0.752040752235839,0.7520313027760738,0.7539692938093857,0.7521586532519154,0.7406846240179573,0.7506412802327149,0.005289281590487761,281
10,0.06950457096099853,0.019619768634410287,0.006963753700256347,0.0024909957386491256,gini,2,5,30,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'random_state': 30}",0.7456795623264266,0.7576985354424242,0.7483315056443957,0.7582491200443483,0.7455694527783835,0.752040752235839,0.7520313027760738,0.7539692938093857,0.7521586532519154,0.7406846240179573,0.7506412802327149,0.005289281590487761,281
11,0.05579423904418945,0.018447099727746566,0.006000900268554687,0.0006728895477668987,gini,2,5,40,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5, 'random_state': 40}",0.7456795623264266,0.7576985354424242,0.7483315056443957,0.7582491200443483,0.7455694527783835,0.752040752235839,0.7520313027760738,0.7539692938093857,0.7521586532519154,0.7406846240179573,0.7506412802327149,0.005289281590487761,281
12,0.07659997940063476,0.04403964529478382,0.006943011283874511,0.0025673276122526803,gini,2,6,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 6, 'random_state': 10}",0.7456795623264266,0.7576985354424242,0.7483315056443957,0.7582491200443483,0.7455694527783835,0.752040752235839,0.7520313027760738,0.7539692938093857,0.7521586532519154,0.7406846240179573,0.7506412802327149,0.005289281590487761,281
