,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.09870243072509766,0.0290748189739262,0.31562206745147703,0.10273660203849598,ball_tree,5,"{'algorithm': 'ball_tree', 'n_neighbors': 5}",0.7475840706699852,0.7270916920092892,0.7528211277859492,0.7713335297951395,0.7444579821978543,0.7860807386580583,0.72862658061613,0.7598473230134107,0.7508761318167606,0.7503054603529472,0.7519024636915524,0.016866236293732215,17
1,0.11913425922393799,0.037535562624216305,0.3985132217407227,0.10629866430265539,ball_tree,6,"{'algorithm': 'ball_tree', 'n_neighbors': 6}",0.769402462804972,0.7502564372430407,0.7644377365790594,0.7727760582299371,0.7537294120277555,0.7890105867794143,0.7223555464002471,0.7639412350490976,0.7519774933920184,0.7644513625308353,0.7602338331036377,0.016623674661848338,6
2,0.13747496604919435,0.04508576667776663,0.4542032480239868,0.1162120554961723,ball_tree,7,"{'algorithm': 'ball_tree', 'n_neighbors': 7}",0.7414350651824867,0.747247369467139,0.7573914611937395,0.7595401608528091,0.7652062815175822,0.7794643966846716,0.735922694620125,0.7617938378420703,0.7461777097528061,0.762324564072952,0.7556503541186382,0.012290118079187258,13
3,0.13773601055145263,0.05863678020170431,0.41627614498138427,0.1234753143354367,ball_tree,8,"{'algorithm': 'ball_tree', 'n_neighbors': 8}",0.7566707667169247,0.7489932639056484,0.7529926974598603,0.7626758927927769,0.7724476765074059,0.7868305446379248,0.728273328705375,0.76621606668675,0.7570192578631397,0.7785430730231497,0.7610662568298954,0.015652156406957662,2
4,0.12379684448242187,0.041991598388070886,0.41695096492767336,0.11954959050478256,ball_tree,9,"{'algorithm': 'ball_tree', 'n_neighbors': 9}",0.7546427263327562,0.7461177058468872,0.7457036444440428,0.7626147055117154,0.7609653085531481,0.7810061929340738,0.7206732992022026,0.7616275747610585,0.7552500203649074,0.7536718618633104,0.7542273039814102,0.014674599627259562,15
5,0.13457374572753905,0.04320849970239551,0.3999683141708374,0.1192743710649694,ball_tree,10,"{'algorithm': 'ball_tree', 'n_neighbors': 10}",0.7740002121796724,0.7549602667103897,0.7391525255758976,0.7653651546115023,0.7547179150354847,0.7837865798036358,0.7284255896169864,0.7744076988450509,0.7497978991649878,0.7820284674706515,0.7606642309014259,0.017515587679538824,4
6,0.15211801528930663,0.05611590015952847,0.31431400775909424,0.09559054406241582,kd_tree,5,"{'algorithm': 'kd_tree', 'n_neighbors': 5}",0.7475840706699852,0.7270916920092892,0.7478991293512148,0.7713335297951395,0.7444579821978543,0.7894559646772601,0.715955243424537,0.7598473230134107,0.7508761318167606,0.7539383703240254,0.7508439437279477,0.01960310875571392,18
7,0.13775379657745362,0.04027011111244289,0.2879704475402832,0.09785250712898011,kd_tree,6,"{'algorithm': 'kd_tree', 'n_neighbors': 6}",0.769402462804972,0.7445996005857115,0.7600797653478294,0.767189397333749,0.7555244319950202,0.792936687124368,0.7223555464002471,0.7657987637029434,0.7485564969549626,0.7681551480820038,0.7594598300331806,0.01768446037261137,9
8,0.15212929248809814,0.04771887677893242,0.3030507802963257,0.09728318107366236,kd_tree,7,"{'algorithm': 'kd_tree', 'n_neighbors': 7}",0.7414350651824867,0.7585581506716473,0.7573914611937395,0.7595401608528091,0.7721223812908248,0.7794643966846716,0.7311112414008756,0.7617938378420703,0.7509706873241049,0.7693183676085816,0.7581705750051811,0.013609692352293753,10
9,0.14551975727081298,0.05480520074734942,0.3211324453353882,0.10837391141902916,kd_tree,8,"{'algorithm': 'kd_tree', 'n_neighbors': 8}",0.7566707667169247,0.7541732196014417,0.748072766432418,0.7581538353291398,0.7724476765074059,0.7844284857918008,0.728273328705375,0.76621606668675,0.7555108690470727,0.7757904112510703,0.75997374260694,0.015023653361688842,8
10,0.15148534774780273,0.04587588076867863,0.349387526512146,0.1276309491869665,kd_tree,9,"{'algorithm': 'kd_tree', 'n_neighbors': 9}",0.752772211192536,0.7443117981003855,0.7457036444440428,0.7626147055117154,0.7628511188589001,0.7742748352979169,0.7156896815630097,0.7616275747610585,0.7660664279021462,0.7536718618633104,0.7539583859495022,0.015489906631485839,16
11,0.14649953842163085,0.049149205110444946,0.3052735567092896,0.10377729643138948,kd_tree,10,"{'algorithm': 'kd_tree', 'n_neighbors': 10}",0.7740002121796724,0.7549602667103897,0.7425817278719532,0.7672846988150015,0.7529050569647863,0.7882883433570987,0.7237160826011001,0.771958226250332,0.7515421491614244,0.7820284674706515,0.760926523138241,0.018536888858545746,3
12,0.01215379238128662,0.004309566381799999,0.897016167640686,0.26364720787385004,brute,5,"{'algorithm': 'brute', 'n_neighbors': 5}",0.7616045941336081,0.7287600025063758,0.7603682534915563,0.7786585969233336,0.7509432790910706,0.7956065701393448,0.7313811483717277,0.7536737494755467,0.75263148755882,0.7535101393891117,0.7567137821080495,0.018772650709095628,11
13,0.012217473983764649,0.00404939365545205,0.8401959419250489,0.31773976894862527,brute,6,"{'algorithm': 'brute', 'n_neighbors': 6}",0.7605724303622275,0.7520149953139644,0.7700957965010584,0.7690395223639092,0.7484100608228226,0.790348507806113,0.7207302416992875,0.7661233256046077,0.7554355512609972,0.7733192413687586,0.7606089673103746,0.017542011482831705,5
